Date,HomeTeam,FTHG,HTHG,HS,HST,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2005-09-10,Lyon,2,1,14.0,7.0,1,0,Monaco,1,0,8.0,3.0,4,1,H,H,13.0,7.0,2.0,12.0,2
2005-09-10,Ajaccio,1,1,6.0,2.0,3,0,Nancy,0,0,10.0,0.0,5,0,H,H,7.0,3.0,10.0,17.0,2
2005-09-10,Nice,0,0,13.0,6.0,1,0,St Etienne,1,1,5.0,2.0,4,0,A,A,8.0,7.0,9.0,11.0,0
2005-09-11,Lens,1,1,12.0,5.0,1,0,Bordeaux,1,1,6.0,4.0,4,0,D,D,10.0,10.0,4.0,6.0,1
2005-09-11,Sochaux,0,0,8.0,2.0,1,0,Marseille,1,0,11.0,4.0,0,0,A,D,5.0,2.0,15.0,20.0,0
2005-09-17,Bordeaux,1,1,12.0,6.0,2,0,Lyon,1,0,3.0,2.0,6,0,D,H,11.0,16.0,5.0,1.0,1
2005-09-17,Le Mans,2,1,11.0,6.0,0,0,Sochaux,1,0,13.0,6.0,1,0,H,H,11.0,5.0,5.0,15.0,2
2005-09-17,Lille,4,1,12.0,8.0,5,0,Nice,0,0,5.0,4.0,2,1,H,H,9.0,8.0,8.0,11.0,2
2005-09-17,Nancy,1,1,17.0,5.0,3,0,Metz,1,0,15.0,4.0,4,0,D,H,3.0,3.0,18.0,20.0,1
2005-09-17,Nantes,2,2,7.0,5.0,1,0,Toulouse,0,0,7.0,5.0,2,0,H,H,8.0,5.0,10.0,17.0,2
2005-09-18,St Etienne,3,1,13.0,8.0,2,0,Paris SG,0,0,9.0,3.0,1,0,H,H,10.0,13.0,9.0,3.0,2
2005-09-18,Strasbourg,1,0,12.0,5.0,2,0,Lens,1,1,3.0,1.0,5,1,D,A,3.0,11.0,20.0,7.0,1
2005-09-18,Monaco,0,0,6.0,2.0,4,2,Rennes,2,1,6.0,2.0,3,0,A,A,7.0,6.0,12.0,14.0,0
2005-09-18,Marseille,2,2,12.0,5.0,0,0,Troyes,1,0,3.0,2.0,1,0,H,H,5.0,9.0,16.0,10.0,2
2005-09-18,Auxerre,2,0,8.0,7.0,0,0,Ajaccio,0,0,3.0,0.0,3,0,H,D,7.0,10.0,15.0,9.0,2
2005-09-21,Toulouse,1,1,12.0,4.0,2,1,Marseille,0,0,27.0,4.0,2,0,H,H,5.0,8.0,17.0,13.0,2
2005-09-21,St Etienne,0,0,9.0,4.0,2,0,Nancy,2,1,9.0,5.0,1,0,A,A,13.0,4.0,3.0,18.0,0
2005-09-21,Sochaux,1,0,10.0,3.0,2,0,Nantes,0,0,3.0,0.0,3,0,H,D,5.0,11.0,18.0,8.0,2
2005-09-21,Rennes,2,1,7.0,3.0,1,0,Bordeaux,2,1,14.0,5.0,1,0,D,D,9.0,12.0,12.0,7.0,1
2005-09-21,Troyes,1,1,8.0,4.0,3,0,Monaco,2,0,13.0,5.0,5,2,A,H,9.0,7.0,12.0,18.0,0
2005-09-21,Nice,1,1,11.0,4.0,2,0,Le Mans,0,0,7.0,2.0,2,0,H,H,8.0,14.0,15.0,2.0,2
