Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2016-03-27,Vancouver Whitecaps,Houston Dynamo,1,0,H,NA,NA,NA,NA,1.85,3.57,4.09,4.0,8.0,20.0,7.0,2
2016-04-04,Orlando City,Portland Timbers,4,1,H,NA,NA,NA,NA,2.33,3.39,2.92,7.0,7.0,13.0,14.0,2
2016-04-07,Sporting Kansas City,Columbus Crew,3,2,H,NA,NA,NA,NA,2.11,3.43,3.37,8.0,5.0,10.0,20.0,2
2016-04-08,Toronto FC,Real Salt Lake,1,0,H,NA,NA,NA,NA,1.6,4.01,5.33,8.0,14.0,10.0,1.0,2
2016-04-09,Vancouver Whitecaps,New York Red Bulls,0,1,A,NA,NA,NA,NA,2.63,3.3,2.63,7.0,7.0,14.0,15.0,0
2016-04-09,Los Angeles Galaxy,Columbus Crew,2,1,H,NA,NA,NA,NA,1.93,3.53,3.81,6.0,5.0,17.0,20.0,2
2016-04-09,FC Dallas,Portland Timbers,3,1,H,NA,NA,NA,NA,1.62,3.96,5.18,11.0,7.0,4.0,17.0,2
2016-04-09,Chicago Fire,Philadelphia Union,3,0,H,NA,NA,NA,NA,2.21,3.48,3.08,8.0,9.0,13.0,10.0,2
2016-04-09,New England Revolution,Colorado Rapids,2,0,H,NA,NA,NA,NA,1.99,3.34,3.83,8.0,10.0,15.0,9.0,2
2016-04-14,Portland Timbers,FC Dallas,1,3,A,NA,NA,NA,NA,2.01,3.44,3.6,7.0,14.0,17.0,1.0,0
2016-04-14,Sporting Kansas City,Colorado Rapids,1,2,A,NA,NA,NA,NA,2.1,3.29,3.54,11.0,10.0,6.0,10.0,0
2016-04-14,San Jose Earthquakes,New York Red Bulls,2,0,H,NA,NA,NA,NA,2.03,3.4,3.64,8.0,10.0,15.0,11.0,2
2016-04-16,Houston Dynamo,Los Angeles Galaxy,1,4,A,NA,NA,NA,NA,2.28,3.39,3.01,8.0,9.0,15.0,13.0,0
2016-04-16,Chicago Fire,CF Montreal,1,2,A,NA,NA,NA,NA,2.65,3.22,2.64,11.0,6.0,6.0,18.0,0
2016-04-16,DC United,Toronto FC,0,1,A,NA,NA,NA,NA,2.54,3.27,2.73,6.0,11.0,19.0,6.0,0
2016-04-17,Seattle Sounders,Philadelphia Union,2,1,H,NA,NA,NA,NA,1.7,3.6,4.98,10.0,9.0,12.0,15.0,2
2016-04-17,Orlando City,New England Revolution,2,2,D,NA,NA,NA,NA,2.17,3.38,3.21,10.0,11.0,12.0,10.0,1
2016-04-17,Portland Timbers,San Jose Earthquakes,3,1,H,NA,NA,NA,NA,1.8,3.58,4.39,7.0,11.0,18.0,11.0,2
2016-04-17,Columbus Crew,New York City,3,2,H,NA,NA,NA,NA,1.61,4.05,5.14,5.0,11.0,20.0,9.0,2
2016-04-17,Real Salt Lake,Vancouver Whitecaps,1,0,H,NA,NA,NA,NA,1.98,3.41,3.72,14.0,7.0,2.0,19.0,2
2016-04-17,Colorado Rapids,New York Red Bulls,2,1,H,NA,NA,NA,NA,2.29,3.27,3.06,13.0,10.0,5.0,13.0,2
2016-04-18,FC Dallas,Sporting Kansas City,2,1,H,NA,NA,NA,NA,1.76,3.64,4.46,17.0,11.0,1.0,11.0,2
2016-04-23,Philadelphia Union,New York City,2,0,H,NA,NA,NA,NA,1.81,3.72,4.11,9.0,11.0,16.0,9.0,2
2016-04-23,CF Montreal,Toronto FC,0,2,A,NA,NA,NA,NA,1.92,3.46,3.92,9.0,14.0,16.0,4.0,0
2016-04-23,DC United,New England Revolution,3,0,H,NA,NA,NA,NA,2.68,3.23,2.61,6.0,12.0,20.0,7.0,2
2016-04-24,San Jose Earthquakes,Sporting Kansas City,1,0,H,NA,NA,NA,NA,1.98,3.34,3.81,11.0,11.0,13.0,12.0,2
2016-04-24,Vancouver Whitecaps,FC Dallas,3,0,H,NA,NA,NA,NA,2.31,3.28,3.04,7.0,20.0,20.0,1.0,2
2016-04-24,Los Angeles Galaxy,Real Salt Lake,5,2,H,NA,NA,NA,NA,1.68,3.8,4.84,12.0,17.0,7.0,3.0,2
2016-04-24,Columbus Crew,Houston Dynamo,1,0,H,NA,NA,NA,NA,1.63,3.97,4.96,8.0,8.0,20.0,19.0,2
2016-04-24,Colorado Rapids,Seattle Sounders,3,1,H,NA,NA,NA,NA,2.07,3.23,3.64,16.0,13.0,4.0,7.0,2
2016-04-25,New York Red Bulls,Orlando City,3,2,H,NA,NA,NA,NA,1.55,4.23,5.45,10.0,11.0,16.0,10.0,2
2016-04-28,New York City,CF Montreal,1,1,D,NA,NA,NA,NA,2.3,3.45,2.93,11.0,9.0,13.0,19.0,1
2016-04-28,New England Revolution,Portland Timbers,1,1,D,NA,NA,NA,NA,1.87,3.56,3.99,12.0,10.0,11.0,18.0,1
2016-04-28,Vancouver Whitecaps,Sporting Kansas City,1,1,D,NA,NA,NA,NA,1.9,3.45,3.99,10.0,11.0,17.0,15.0,1
2016-04-30,Seattle Sounders,Columbus Crew,1,0,H,NA,NA,NA,NA,2.22,3.32,3.17,13.0,11.0,7.0,16.0,2
2016-04-30,New York Red Bulls,FC Dallas,4,0,H,NA,NA,NA,NA,1.91,3.72,3.66,13.0,20.0,8.0,1.0,2
2016-04-30,CF Montreal,Colorado Rapids,2,2,D,NA,NA,NA,NA,1.87,3.43,4.18,10.0,19.0,18.0,2.0,1
2016-04-30,Chicago Fire,DC United,1,1,D,NA,NA,NA,NA,2.08,3.43,3.41,11.0,9.0,15.0,19.0,1
2016-04-30,New York City,Vancouver Whitecaps,3,2,H,NA,NA,NA,NA,1.91,3.55,3.84,12.0,11.0,11.0,15.0,2
2016-04-30,Philadelphia Union,San Jose Earthquakes,1,1,D,NA,NA,NA,NA,2.04,3.38,3.58,12.0,14.0,12.0,9.0,1
2016-05-07,FC Dallas,Orlando City,4,0,H,NA,NA,NA,NA,1.53,4.38,5.54,20.0,11.0,2.0,14.0,2
2016-05-07,Los Angeles Galaxy,Vancouver Whitecaps,2,0,H,NA,NA,NA,NA,1.56,4.18,5.43,15.0,11.0,7.0,15.0,2
2016-05-07,Colorado Rapids,Portland Timbers,0,0,D,NA,NA,NA,NA,1.64,3.82,5.2,20.0,11.0,2.0,18.0,1
2016-05-14,DC United,New York Red Bulls,2,0,H,NA,NA,NA,NA,3.05,3.4,2.25,10.0,16.0,19.0,7.0,2
