Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2015-10-18,Newcastle,6,3,11,6,3,10,1,0,Norwich,2,2,18,6,7,10,1,0,A Taylor,H,H,3.0,9.0,20.0,15.0,2
2015-10-19,Swansea,0,0,14,2,1,6,2,0,Stoke,1,1,9,2,2,14,2,0,R Madley,A,A,10.0,9.0,13.0,15.0,0
2015-10-24,West Ham,2,1,12,5,7,10,1,0,Chelsea,1,0,8,4,4,12,5,1,J Moss,H,H,17.0,11.0,4.0,12.0,2
2015-10-24,Norwich,0,0,16,3,13,11,1,0,West Brom,1,0,7,4,3,6,2,0,K Friend,A,D,9.0,11.0,16.0,13.0,0
2015-10-24,Stoke,0,0,12,1,11,10,3,0,Watford,2,1,13,3,5,18,1,0,M Atkinson,A,A,12.0,10.0,12.0,15.0,0
2015-10-24,Aston Villa,1,0,9,3,4,10,2,0,Swansea,2,0,11,4,6,8,3,0,N Swarbrick,A,D,4.0,10.0,19.0,15.0,0
2015-10-24,Leicester,1,0,12,3,3,7,3,0,Crystal Palace,0,0,9,4,2,11,1,0,M Dean,H,D,16.0,15.0,5.0,6.0,2
2015-10-24,Arsenal,2,2,20,5,7,11,2,0,Everton,1,1,10,5,5,14,0,1,L Mason,H,H,19.0,13.0,3.0,10.0,2
2015-10-25,Bournemouth,1,1,11,3,4,8,0,0,Tottenham,5,3,14,9,5,15,1,0,R East,A,A,8.0,14.0,17.0,7.0,0
2015-10-25,Liverpool,1,0,15,2,10,8,1,0,Southampton,1,0,8,3,7,11,0,1,A Marriner,D,D,13.0,13.0,12.0,9.0,1
2015-10-25,Man United,0,0,6,1,6,17,2,0,Man City,0,0,6,1,4,13,2,0,M Clattenburg,D,D,19.0,21.0,4.0,2.0,1
2015-10-25,Sunderland,3,1,9,3,1,12,0,0,Newcastle,0,0,21,8,10,10,2,1,R Madley,H,H,3.0,6.0,20.0,18.0,2
2015-10-31,West Brom,2,1,14,6,6,3,0,0,Leicester,3,0,13,5,4,11,2,0,A Taylor,A,H,14.0,19.0,10.0,5.0,0
2015-10-31,Swansea,0,0,8,3,4,12,2,0,Arsenal,3,0,15,5,4,7,0,0,K Friend,A,D,13.0,22.0,12.0,2.0,0
