Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Argentina,Liga Profesional,2026,02/02/2026,22:45,Tigre,Racing Club,3,1,H,,,,4.0,3.0,2.32,3.68,2.86,2.22,4.1,3.0,2.34,4.0,2.75,2.2,2026.0
Argentina,Liga Profesional,2026,03/02/2026,01:00,Argentinos Jrs,Belgrano,0,0,D,,,,1.7,3.65,6.25,1.66,3.4,5.73,1.74,3.55,6.4,1.62,3.3,6.0,2026.0
Argentina,Liga Profesional,2026,03/02/2026,01:00,Union de Santa Fe,Gimnasia Mendoza,4,0,H,,,,1.83,3.3,6.0,1.74,3.22,5.37,1.79,3.45,6.4,1.66,3.25,6.0,2026.0
Argentina,Liga Profesional,2026,03/02/2026,22:00,Banfield,Estudiantes Rio Cuarto,2,1,H,,,,1.95,3.15,5.0,1.88,2.99,4.73,2.0,3.1,5.4,1.86,2.85,5.0,2026.0
Argentina,Liga Profesional,2026,04/02/2026,00:15,Ind. Rivadavia,Sarmiento Junin,2,1,H,,,,1.81,3.33,5.75,1.74,3.22,5.36,1.82,3.4,6.0,1.71,3.3,5.5,2026.0
Argentina,Liga Profesional,2026,04/02/2026,00:15,Instituto,Lanus,2,2,D,,,,2.9,3.0,2.8,2.84,2.84,2.69,3.0,3.0,2.9,2.85,2.82,2.65,2026.0
Argentina,Liga Profesional,2026,07/02/2026,00:00,Central Cordoba,Union de Santa Fe,1,0,H,,,,3.66,3.0,2.45,3.44,2.79,2.34,3.8,2.94,2.48,3.4,3.0,2.3,2026.0
Argentina,Liga Profesional,2026,07/02/2026,20:00,Aldosivi,Rosario Central,1,1,D,,,,4.75,3.1,2.12,4.27,2.9,2.02,4.6,3.0,2.18,4.75,3.0,1.91,2026.0
Argentina,Liga Profesional,2026,07/02/2026,21:00,Racing Club,Argentinos Jrs,2,1,H,,,,2.82,3.0,2.8,2.76,2.89,2.73,2.94,3.0,3.0,2.82,2.85,2.75,2026.0
Argentina,Liga Profesional,2026,07/02/2026,23:00,River Plate,Tigre,1,4,A,,,,1.65,3.75,7.5,1.6,3.54,6.08,1.68,3.75,7.0,1.57,3.6,6.0,2026.0
Argentina,Liga Profesional,2026,08/02/2026,01:15,Belgrano,Banfield,1,0,H,,,,1.91,3.4,5.0,1.81,3.26,4.69,1.86,3.5,5.5,1.76,3.4,5.0,2026.0
Argentina,Liga Profesional,2026,08/02/2026,01:15,Newells Old Boys,Defensa y Justicia,2,3,A,,,,2.2,3.05,4.0,2.16,2.89,3.76,2.26,3.0,4.1,2.15,2.85,3.9,2026.0
Argentina,Liga Profesional,2026,08/02/2026,20:00,Platense,Independiente,0,1,A,,,,3.0,2.85,3.1,2.76,2.71,2.93,2.98,2.74,3.2,2.7,2.75,3.0,2026.0
Argentina,Liga Profesional,2026,08/02/2026,20:00,Sarmiento Junin,Atl. Tucuman,2,1,H,,,,2.8,2.95,3.0,2.71,2.82,2.85,2.9,2.98,3.1,2.7,2.75,3.0,2026.0
Argentina,Liga Profesional,2026,08/02/2026,22:15,Huracan,San Lorenzo,1,0,H,,,,2.6,2.7,3.66,2.49,2.58,3.5,2.66,2.7,3.8,2.45,2.7,3.4,2026.0
Argentina,Liga Profesional,2026,09/02/2026,01:15,Gimnasia Mendoza,Instituto,1,0,H,,,,3.2,2.8,2.75,3.07,2.74,2.59,3.4,2.86,2.7,3.2,2.75,2.57,2026.0
Argentina,Liga Profesional,2026,09/02/2026,01:15,Velez Sarsfield,Boca Juniors,2,1,H,,,,3.5,2.9,2.58,3.21,2.77,2.49,3.5,2.9,2.64,3.1,2.85,2.45,2026.0
Argentina,Liga Profesional,2026,09/02/2026,20:00,Barracas Central,Gimnasia L.P.,2,0,H,,,,2.83,3.0,3.05,2.72,2.8,2.85,3.0,2.9,3.05,2.75,2.85,2.75,2026.0
Argentina,Liga Profesional,2026,09/02/2026,22:15,Estudiantes L.P.,Dep. Riestra,1,0,H,,,,1.93,3.0,5.5,1.88,2.88,5.11,1.98,3.05,5.8,1.86,3.0,5.0,2026.0
Argentina,Liga Profesional,2026,09/02/2026,22:15,Lanus,Talleres Cordoba,1,1,D,,,,2.06,3.13,4.33,1.99,3.01,4.17,2.12,3.15,4.6,2.01,2.85,4.33,2026.0
Argentina,Liga Profesional,2026,10/02/2026,00:30,Estudiantes Rio Cuarto,Ind. Rivadavia,0,1,A,,,,4.0,2.9,2.4,3.73,2.76,2.24,4.1,3.0,2.3,4.0,2.75,2.15,2026.0
Argentina,Liga Profesional,2026,12/02/2026,22:00,Tigre,Aldosivi,1,0,H,,,,1.77,3.3,6.2,1.72,3.13,5.79,1.79,3.35,6.6,1.71,3.1,6.0,2026.0
Argentina,Liga Profesional,2026,13/02/2026,00:15,Argentinos Jrs,River Plate,1,0,H,,,,2.32,3.1,3.7,2.24,2.94,3.45,2.4,3.0,3.9,2.2,2.85,3.7,2026.0
Argentina,Liga Profesional,2026,13/02/2026,23:00,Independiente,Lanus,2,0,H,,,,2.16,3.05,4.33,2.08,2.9,3.98,2.18,3.1,4.4,2.05,2.82,4.33,2026.0
Argentina,Liga Profesional,2026,14/02/2026,01:15,Defensa y Justicia,Velez Sarsfield,1,1,D,,,,3.7,3.1,2.38,3.47,2.86,2.29,3.8,3.0,2.44,3.7,2.75,2.3,2026.0
Argentina,Liga Profesional,2026,14/02/2026,01:15,Union de Santa Fe,San Lorenzo,0,0,D,,,,2.28,2.75,5.0,2.14,2.64,4.41,2.26,2.78,4.7,2.01,2.7,5.0,2026.0
Argentina,Liga Profesional,2026,14/02/2026,20:30,Banfield,Racing Club,0,2,A,,,,4.5,3.3,1.95,4.2,3.2,1.9,4.7,3.35,2.02,4.33,3.3,1.86,2026.0
Argentina,Liga Profesional,2026,14/02/2026,22:45,Huracan,Sarmiento Junin,1,0,H,,,,1.83,3.2,6.0,1.77,3.08,5.41,1.85,3.3,6.2,1.76,3.1,6.0,2026.0
Argentina,Liga Profesional,2026,14/02/2026,22:45,Talleres Cordoba,Gimnasia Mendoza,2,1,H,,,,2.12,3.4,7.0,1.71,3.23,5.79,1.76,3.45,6.6,1.62,3.25,7.0,2026.0
Argentina,Liga Profesional,2026,15/02/2026,01:00,Atl. Tucuman,Estudiantes Rio Cuarto,4,0,H,,,,1.91,3.25,4.75,1.87,3.13,4.59,1.94,3.35,5.0,1.86,3.25,4.5,2026.0
Argentina,Liga Profesional,2026,15/02/2026,01:00,Ind. Rivadavia,Belgrano,0,1,A,,,,2.42,3.0,3.65,2.33,2.83,3.41,2.48,3.0,3.65,2.35,2.7,3.5,2026.0
Argentina,Liga Profesional,2026,15/02/2026,20:00,Gimnasia L.P.,Estudiantes L.P.,0,0,D,,,,3.4,2.95,2.71,3.1,2.75,2.58,3.3,2.78,2.86,3.25,2.65,2.65,2026.0
Argentina,Liga Profesional,2026,15/02/2026,22:30,Boca Juniors,Platense,0,0,D,,,,1.65,3.5,7.0,1.61,3.36,6.38,1.7,3.55,7.2,1.61,3.4,6.5,2026.0
Argentina,Liga Profesional,2026,16/02/2026,01:00,Instituto,Central Cordoba,2,0,H,,,,1.98,3.14,5.25,1.87,3.06,4.69,1.93,3.3,5.5,1.81,3.1,4.75,2026.0
Argentina,Liga Profesional,2026,16/02/2026,01:00,Rosario Central,Barracas Central,2,0,H,,,,1.58,3.6,8.5,1.53,3.52,7.32,1.6,3.75,8.4,1.51,3.4,8.5,2026.0
Argentina,Liga Profesional,2026,16/02/2026,22:00,Dep. Riestra,Newells Old Boys,1,1,D,,,,2.33,2.88,4.0,2.28,2.69,3.75,2.42,2.84,4.1,2.25,2.65,3.9,2026.0
Argentina,Liga Profesional,2026,20/02/2026,20:15,Defensa y Justicia,Belgrano,1,1,D,,,,3.2,3.0,2.65,2.99,2.86,2.56,3.4,2.94,2.7,3.2,2.82,2.55,2026.0
Argentina,Liga Profesional,2026,20/02/2026,20:45,Estudiantes L.P.,Sarmiento Junin,1,0,H,,,,1.64,3.5,8.0,1.59,3.29,6.96,1.63,3.55,8.8,1.57,3.5,7.0,2026.0
Argentina,Liga Profesional,2026,20/02/2026,23:00,Boca Juniors,Racing Club,0,0,D,,,,2.3,3.0,3.75,2.23,2.92,3.51,2.44,3.05,3.7,2.3,2.85,3.5,2026.0
Argentina,Liga Profesional,2026,20/02/2026,23:00,Instituto,Atl. Tucuman,2,1,H,,,,2.05,3.3,4.3,1.98,3.11,4.02,2.08,3.25,4.6,2.01,3.1,4.2,2026.0
Argentina,Liga Profesional,2026,21/02/2026,01:15,Gimnasia Mendoza,Gimnasia L.P.,0,1,A,,,,2.7,2.9,3.1,2.59,2.8,3.0,2.76,2.9,3.3,2.7,2.75,3.0,2026.0
Argentina,Liga Profesional,2026,21/02/2026,01:15,Rosario Central,Talleres Cordoba,0,1,A,,,,2.0,3.33,5.0,1.82,3.2,4.72,1.83,3.45,5.7,1.86,3.25,4.5,2026.0
Argentina,Liga Profesional,2026,21/02/2026,20:00,Ind. Rivadavia,Independiente,3,2,H,,,,2.7,2.88,3.4,2.58,2.8,3.03,2.76,2.86,3.35,2.5,2.7,3.4,2026.0
Argentina,Liga Profesional,2026,21/02/2026,20:00,Platense,Barracas Central,1,0,H,,,,1.94,3.25,5.5,1.84,2.97,5.1,1.94,3.1,5.9,1.76,3.25,5.25,2026.0
Argentina,Liga Profesional,2026,21/02/2026,22:15,Banfield,Newells Old Boys,3,0,H,,,,2.4,3.0,3.5,2.33,2.88,3.34,2.48,2.94,3.8,2.3,2.85,3.4,2026.0
Argentina,Liga Profesional,2026,21/02/2026,22:15,Dep. Riestra,Huracan,0,0,D,,,,2.8,2.65,3.4,2.71,2.51,3.22,2.92,2.58,3.6,2.7,2.4,3.4,2026.0
Argentina,Liga Profesional,2026,22/02/2026,00:30,Central Cordoba,Tigre,0,0,D,,,,3.6,2.88,2.54,3.38,2.69,2.45,3.7,2.82,2.64,3.6,2.65,2.4,2026.0
Argentina,Liga Profesional,2026,22/02/2026,20:00,San Lorenzo,Estudiantes Rio Cuarto,2,0,H,,,,1.67,3.4,7.5,1.62,3.25,6.75,1.67,3.4,8.0,1.57,3.3,7.5,2026.0
Argentina,Liga Profesional,2026,22/02/2026,22:15,Velez Sarsfield,River Plate,1,0,H,,,,2.9,3.0,2.8,2.83,2.89,2.65,3.0,3.05,2.86,2.82,2.85,2.7,2026.0
Argentina,Liga Profesional,2026,23/02/2026,00:30,Union de Santa Fe,Aldosivi,1,0,H,,,,1.6,3.7,6.75,1.57,3.56,6.39,1.63,3.9,7.2,1.56,3.6,6.5,2026.0
Argentina,Liga Profesional,2026,24/02/2026,20:00,Platense,Defensa y Justicia,0,0,D,,,,2.05,3.05,4.55,2.02,2.86,4.28,2.12,3.0,4.8,2.01,2.82,4.5,2026.0
Argentina,Liga Profesional,2026,24/02/2026,22:15,San Lorenzo,Instituto,1,1,D,,,,2.54,2.88,3.45,2.47,2.72,3.28,2.62,2.86,3.6,2.5,2.7,3.4,2026.0
Argentina,Liga Profesional,2026,24/02/2026,22:45,Central Cordoba,Talleres Cordoba,2,0,H,,,,3.7,2.85,2.38,3.53,2.73,2.32,3.85,2.88,2.5,3.6,2.75,2.32,2026.0
Argentina,Liga Profesional,2026,25/02/2026,00:30,Belgrano,Atl. Tucuman,3,1,H,,,,1.8,3.55,5.25,1.74,3.33,4.93,1.81,3.6,5.7,1.71,3.4,5.0,2026.0
Argentina,Liga Profesional,2026,25/02/2026,01:00,Gimnasia Mendoza,Independiente,1,1,D,,,,4.0,2.95,2.25,3.74,2.81,2.2,4.2,2.96,2.32,3.9,2.75,2.2,2026.0
Argentina,Liga Profesional,2026,25/02/2026,20:00,Barracas Central,Tigre,2,1,H,,,,3.35,2.88,2.65,3.16,2.71,2.55,3.5,2.84,2.7,3.1,2.7,2.65,2026.0
Argentina,Liga Profesional,2026,25/02/2026,20:00,Gimnasia L.P.,Rosario Central,1,2,A,,,,3.5,2.8,2.7,3.3,2.67,2.49,3.5,2.98,2.6,3.25,2.5,2.7,2026.0
Argentina,Liga Profesional,2026,25/02/2026,22:30,Newells Old Boys,Estudiantes L.P.,0,2,A,,,,3.8,2.9,2.36,3.6,2.77,2.27,3.8,2.94,2.46,3.8,2.75,2.3,2026.0
