Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2010-09-25,Burnley,0,0,28,15,11,12,3,0,Bristol City,0,0,9,4,6,15,2,0,S Mathieson,D,D,11.0,5.0,9.0,22.0,1
2010-09-25,Leeds,1,0,5,2,3,18,3,1,Sheffield United,0,0,7,5,3,16,0,1,A Taylor,H,D,11.0,10.0,13.0,17.0,2
2010-09-25,Derby,5,2,20,12,12,7,2,0,Crystal Palace,0,0,4,1,2,11,2,1,A Bates,H,H,5.0,7.0,22.0,19.0,2
2010-09-25,Coventry,1,0,22,11,8,14,1,0,Preston,2,2,13,9,5,10,2,0,C Boyeson,A,A,11.0,3.0,13.0,24.0,0
2010-09-25,Cardiff,2,1,18,10,9,14,1,0,Millwall,1,1,10,5,1,15,2,1,L Mason,H,D,13.0,11.0,5.0,11.0,2
2010-09-25,Norwich,0,0,11,4,9,14,2,0,Hull,2,0,11,8,1,12,2,0,D Foster,A,D,13.0,8.0,6.0,19.0,0
2010-09-28,Nott'm Forest,1,0,7,4,4,10,1,0,Sheffield United,1,1,5,3,3,8,2,0,M Russell,D,A,11.0,10.0,11.0,18.0,1
2010-09-28,Scunthorpe,0,0,18,7,4,11,0,0,Barnsley,0,0,10,4,8,15,1,0,R Shoebridge,D,D,10.0,11.0,17.0,14.0,1
2010-09-28,Reading,1,0,9,6,6,12,2,1,Ipswich,0,0,10,5,5,15,3,1,P Crossley,H,D,12.0,15.0,7.0,4.0,2
2010-09-28,QPR,0,0,14,6,9,14,1,0,Millwall,0,0,6,4,6,19,1,0,L Probert,D,D,22.0,11.0,1.0,13.0,1
2010-09-28,Portsmouth,3,0,15,8,9,8,2,0,Bristol City,1,0,9,8,6,10,0,0,G Horwood,H,D,5.0,6.0,23.0,21.0,2
2010-09-28,Watford,2,0,14,9,6,9,0,0,Swansea,3,2,8,6,3,9,3,0,I Williamson,A,A,15.0,12.0,3.0,11.0,0
2010-09-28,Norwich,4,1,18,10,4,10,4,0,Leicester,3,1,11,7,4,5,0,1,P Walton,H,D,13.0,5.0,8.0,24.0,2
