Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-09-19,Middlesbrough,2,1,9,4,2,3,0,0,West Brom,1,0,15,3,3,7,0,0,A Kitchen,H,H,2.19,3.33,3.28,2.1,1.85,2.0,1.76,1.86,1.92,13.0,10.0,1.0,5.0,2
2025-09-20,Norwich,2,1,14,5,2,6,1,0,Wrexham,3,0,11,8,3,9,3,0,D Webb,A,H,1.8,3.76,4.17,1.73,2.1,1.71,2.07,1.77,1.99,7.0,4.0,10.0,21.0,0
2025-09-20,Portsmouth,0,0,25,5,11,5,1,0,Sheffield Weds,2,1,13,8,5,10,5,0,R Ricardo,A,A,1.55,4.11,5.74,1.91,1.98,1.83,1.92,1.92,1.86,8.0,1.0,9.0,23.0,0
2025-09-20,Hull,3,1,11,4,1,15,5,0,Southampton,1,0,14,4,6,10,3,0,A Backhouse,H,H,3.01,3.52,2.24,1.8,2.1,1.74,2.03,1.84,1.88,5.0,6.0,21.0,16.0,2
2025-09-20,Sheffield United,0,0,13,1,6,14,1,0,Charlton,1,0,13,4,1,18,3,0,B Toner,A,D,1.83,3.52,4.34,2.1,1.73,2.09,1.69,1.81,1.95,0.0,5.0,24.0,20.0,0
2025-09-20,QPR,1,0,14,7,3,8,5,0,Stoke,0,0,7,1,6,13,3,0,T Robinson,H,D,2.68,3.26,2.62,2.1,1.73,2.06,1.72,1.9,1.87,7.0,12.0,15.0,2.0,2
2025-09-20,Birmingham,1,0,23,7,7,13,5,0,Swansea,0,0,9,2,2,11,4,0,J Busby,H,D,1.87,3.33,4.37,2.4,1.61,2.31,1.57,1.85,1.91,7.0,8.0,15.0,8.0,2
2025-09-20,Derby,0,0,7,2,3,10,2,0,Preston,1,1,10,6,4,7,2,0,L Smith,A,A,2.34,3.06,3.24,2.75,1.5,2.61,1.46,1.94,1.82,5.0,8.0,21.0,9.0,0
2025-09-20,Leicester,0,0,17,9,10,8,0,0,Coventry,0,0,11,3,3,11,3,0,O Langford,D,D,2.46,3.46,2.71,1.73,2.1,1.69,2.09,1.8,1.95,10.0,9.0,5.0,9.0,1
2025-09-21,Bristol City,1,0,12,2,8,15,4,0,Oxford,3,2,18,6,5,14,1,0,J Brooks,A,A,1.59,3.94,5.43,1.93,1.93,1.9,1.86,2.01,1.78,11.0,2.0,3.0,23.0,0
2025-09-22,Millwall,1,1,9,2,7,11,1,0,Watford,0,0,11,4,4,9,0,0,J Smith,H,H,2.07,3.23,3.65,2.3,1.66,2.23,1.61,2.03,1.74,7.0,5.0,16.0,21.0,2
2025-09-26,West Brom,1,1,11,5,3,13,2,0,Leicester,1,0,13,1,3,16,5,0,S Martin,D,H,2.22,3.27,3.27,2.2,1.73,2.1,1.69,1.88,1.89,10.0,11.0,7.0,4.0,1
2025-09-27,Watford,2,0,21,8,6,7,1,0,Hull,1,1,11,4,6,16,5,0,O Langford,H,A,2.23,3.35,3.16,2.02,1.91,1.95,1.81,1.89,1.87,5.0,8.0,21.0,14.0,2
2025-09-27,Stoke,1,0,23,6,12,11,0,0,Norwich,1,1,6,3,2,9,3,0,E Bell,D,A,2.02,3.51,3.53,1.95,1.93,1.89,1.86,1.98,1.78,12.0,7.0,2.0,16.0,1
2025-09-27,Southampton,1,0,14,2,6,11,2,0,Middlesbrough,1,0,7,1,3,17,6,0,F Hallam,D,D,2.34,3.44,2.9,1.88,2.02,1.81,1.95,1.99,1.78,6.0,16.0,20.0,1.0,1
2025-09-27,Sheffield Weds,1,1,14,5,5,12,2,0,QPR,1,0,14,4,4,19,2,0,J Brooks,D,H,2.82,3.35,2.44,2.0,1.8,1.97,1.77,1.99,1.76,4.0,10.0,23.0,9.0,1
2025-09-27,Preston,0,0,7,2,2,9,4,0,Bristol City,0,0,19,7,9,10,1,0,R Madley,D,D,2.58,3.26,2.71,2.1,1.75,2.05,1.72,1.84,1.92,11.0,11.0,5.0,4.0,1
2025-09-27,Oxford,0,0,14,3,3,10,1,0,Sheffield United,1,0,6,2,5,13,1,0,B Speedie,A,D,3.03,3.34,2.32,2.1,1.76,2.03,1.74,1.8,1.91,5.0,0.0,21.0,24.0,0
2025-09-27,Ipswich,2,2,14,5,5,15,1,0,Portsmouth,1,0,8,4,4,11,2,0,A Kitchen,H,H,1.52,4.23,5.9,1.8,2.12,1.74,2.03,1.84,1.94,6.0,8.0,19.0,15.0,2
2025-09-27,Charlton,3,1,16,7,3,15,4,0,Blackburn,0,0,9,2,3,11,2,0,A Backhouse,H,H,2.35,3.19,3.11,2.4,1.62,2.28,1.58,1.98,1.79,8.0,6.0,15.0,20.0,2
2025-09-27,Wrexham,1,0,10,5,4,9,1,0,Derby,1,0,5,3,3,16,5,0,T Nield,D,D,2.12,3.22,3.59,2.38,1.6,2.32,1.57,1.8,1.99,7.0,5.0,18.0,22.0,1
2025-09-27,Swansea,1,1,13,2,6,7,1,0,Millwall,1,1,11,3,4,20,2,0,D Whitestone,D,D,2.17,3.16,3.52,2.4,1.6,2.35,1.56,1.82,1.96,8.0,10.0,13.0,11.0,1
2025-09-27,Coventry,3,1,14,5,3,11,1,0,Birmingham,0,0,5,0,4,12,2,1,T Kirk,H,H,2.09,3.45,3.4,1.98,1.92,1.9,1.86,1.8,1.98,10.0,10.0,10.0,11.0,2
2025-09-30,Derby,1,0,18,3,5,11,2,0,Charlton,1,1,11,3,2,10,0,0,G Ward,D,A,2.61,3.05,2.82,2.63,1.5,2.54,1.48,1.83,1.93,6.0,11.0,21.0,7.0,1
2025-09-30,Sheffield United,1,1,8,3,4,14,3,0,Southampton,2,0,12,5,5,19,4,0,A Herczeg,A,H,2.39,3.37,2.89,2.0,1.94,1.9,1.85,2.03,1.76,3.0,7.0,24.0,19.0,0
2025-09-30,Middlesbrough,0,0,12,4,5,8,2,0,Stoke,0,0,18,5,8,5,0,0,D Webb,D,D,1.86,3.5,4.17,2.1,1.82,2.01,1.77,1.83,1.93,17.0,13.0,1.0,3.0,1
2025-09-30,Leicester,1,1,16,1,7,9,3,0,Wrexham,1,0,9,1,1,7,1,0,E Bell,D,H,1.66,3.86,4.92,1.91,1.96,1.85,1.91,1.81,1.96,12.0,8.0,5.0,16.0,1
2025-09-30,Blackburn,1,1,14,3,7,15,3,0,Swansea,2,1,7,4,3,13,2,0,L Doughty,A,D,2.6,3.19,2.75,2.25,1.67,2.2,1.63,1.84,1.92,6.0,9.0,21.0,14.0,0
2025-09-30,Bristol City,1,1,13,3,3,14,4,0,Ipswich,1,0,15,3,6,11,2,0,J Busby,D,H,2.77,3.41,2.44,1.93,1.94,1.87,1.89,1.99,1.78,12.0,9.0,5.0,14.0,1
2025-09-30,Birmingham,2,1,20,5,10,15,3,0,Sheffield Weds,2,1,5,3,4,11,2,0,M Donohue,D,D,1.46,4.25,7.07,2.05,1.93,1.91,1.85,1.77,2.02,10.0,5.0,14.0,23.0,1
