Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-11-22,Hibernian,2,1,17,5,8,9,2,0,Dundee,0,0,7,4,3,11,1,0,S McLean,H,H,1.32,5.04,8.83,1.67,2.2,1.65,2.14,1.91,1.8,18.0,9.0,4.0,11.0,2
2025-11-22,Kilmarnock,1,0,18,6,3,15,1,0,Motherwell,3,2,12,5,3,12,5,0,R Lee,A,A,2.91,3.31,2.35,1.95,1.91,1.87,1.85,1.74,1.92,10.0,15.0,10.0,6.0,0
2025-11-22,Rangers,2,1,9,2,2,12,2,0,Livingston,1,1,9,2,1,16,4,0,R Hardie,H,D,1.25,5.72,10.54,1.57,2.5,1.54,2.36,1.73,1.99,18.0,8.0,6.0,12.0,2
2025-11-22,St Mirren,0,0,13,2,2,10,2,0,Celtic,1,0,16,2,4,8,1,0,K Clancy,A,D,6.38,4.71,1.42,1.56,2.5,1.53,2.38,1.82,1.88,10.0,23.0,9.0,2.0,0
2025-11-23,Aberdeen,1,1,6,2,6,20,3,0,Hearts,0,0,16,4,3,15,4,0,D Dickinson,H,H,3.98,3.53,1.86,1.98,1.91,1.9,1.83,1.88,1.83,11.0,30.0,8.0,1.0,2
2025-11-25,Motherwell,2,2,16,5,0,13,0,0,Hibernian,0,0,2,1,2,17,1,1,D Nicolson,H,H,2.63,3.42,2.52,1.83,2.03,1.79,1.94,1.91,1.82,18.0,21.0,6.0,3.0,2
2025-11-29,Dundee,3,2,8,4,1,6,0,0,St Mirren,1,1,19,3,11,14,2,0,J Beaton,H,H,3.45,3.32,2.08,2.1,1.8,2.02,1.73,1.97,3.95,9.0,10.0,11.0,9.0,2
2025-11-29,Motherwell,0,0,9,5,3,4,2,0,Hearts,0,0,9,1,4,14,4,0,K Clancy,D,D,3.37,3.46,2.06,1.8,2.0,1.77,1.96,1.74,1.98,21.0,30.0,4.0,1.0,1
2025-11-29,Kilmarnock,1,1,11,3,3,16,3,0,Dundee United,1,0,11,3,3,15,2,0,M MacDermid,D,H,2.66,3.34,2.52,1.98,1.91,1.92,1.81,1.92,5.18,10.0,14.0,11.0,7.0,1
2025-11-30,Livingston,0,0,15,3,7,12,1,0,Aberdeen,1,0,14,4,4,15,1,0,D Robertson,A,D,2.7,3.27,2.54,2.0,1.91,1.93,1.8,1.91,5.18,8.0,14.0,12.0,8.0,0
2025-11-30,Rangers,0,0,14,4,4,11,0,0,Falkirk,0,0,5,2,5,17,3,0,S McLean,D,D,1.36,4.99,7.4,1.55,2.5,1.52,2.4,1.97,1.75,21.0,19.0,5.0,6.0,1
2025-11-30,Hibernian,1,0,9,4,4,9,3,0,Celtic,2,2,6,2,3,18,3,0,N Walsh,A,A,4.22,3.92,1.72,1.67,2.3,1.61,2.21,1.8,4.41,21.0,26.0,5.0,2.0,0
2025-12-03,Aberdeen,3,0,18,8,8,11,0,0,St Mirren,3,0,15,4,6,16,1,0,S McLean,D,D,2.2,3.32,3.15,2.0,1.91,1.93,1.8,1.85,1.85,17.0,10.0,7.0,11.0,1
2025-12-03,Celtic,1,1,17,6,6,13,3,0,Dundee,0,0,4,3,0,4,0,0,D Nicolson,H,H,1.09,9.84,20.81,1.3,3.65,1.28,3.42,1.78,1.94,29.0,12.0,2.0,9.0,2
2025-12-03,Dundee United,2,1,13,6,8,13,3,0,Rangers,2,1,32,10,9,6,3,0,D Dickinson,D,D,4.5,3.78,1.71,1.83,2.03,1.76,1.98,1.83,1.88,15.0,22.0,8.0,4.0,1
2025-12-03,Falkirk,0,0,14,1,6,13,2,0,Motherwell,0,0,7,1,3,15,0,0,C Graham,D,D,2.58,3.33,2.6,1.91,1.98,1.83,1.9,1.88,1.85,20.0,22.0,6.0,4.0,1
2025-12-03,Hearts,1,0,17,3,9,4,1,0,Kilmarnock,1,0,11,5,1,11,2,0,J Beaton,D,D,1.34,4.81,8.39,1.8,2.08,1.73,2.03,1.99,1.74,31.0,11.0,2.0,11.0,1
2025-12-06,Dundee,1,0,15,2,6,8,2,0,Aberdeen,3,2,21,8,4,13,1,0,G Irvine,A,A,3.37,3.29,2.12,2.1,1.75,2.04,1.71,1.94,1.73,12.0,18.0,10.0,7.0,0
2025-12-06,Hibernian,3,2,10,5,10,13,1,0,Falkirk,0,0,8,4,4,9,4,0,M MacDermid,H,H,1.58,4.02,5.25,1.76,2.2,1.68,2.09,1.98,1.75,21.0,21.0,5.0,7.0,2
2025-12-06,Motherwell,3,1,14,7,4,9,2,0,Livingston,0,0,12,1,5,19,3,0,R Lee,H,H,1.69,3.75,4.68,1.91,1.98,1.81,1.92,1.84,1.86,23.0,8.0,4.0,12.0,2
2025-12-06,St Mirren,2,1,13,5,3,14,2,0,Dundee United,0,0,13,3,2,5,2,0,N Walsh,H,H,2.16,3.39,3.2,1.93,1.93,1.87,1.85,1.81,1.89,11.0,16.0,11.0,8.0,2
2025-12-06,Kilmarnock,0,0,15,3,7,17,2,0,Rangers,3,1,11,6,2,11,2,0,K Clancy,A,A,5.28,3.97,1.59,1.85,2.0,1.78,1.95,1.76,1.96,12.0,23.0,10.0,5.0,0
2025-12-07,Celtic,1,0,15,5,5,9,1,0,Hearts,2,1,8,3,3,11,3,0,D Robertson,A,A,1.55,4.02,5.59,1.8,2.05,1.74,2.0,1.89,1.83,32.0,32.0,2.0,1.0,0
2025-12-13,Falkirk,0,0,6,1,3,11,2,0,Hearts,2,1,13,5,7,9,2,0,C Scott,A,A,4.17,3.56,1.81,1.91,1.91,1.85,1.87,1.94,1.78,21.0,35.0,7.0,1.0,0
2025-12-13,Livingston,2,0,15,6,7,23,2,1,Dundee,2,2,6,3,0,13,2,0,D McFarlane,D,A,1.88,3.48,3.97,2.0,1.93,1.91,1.82,1.83,1.87,8.0,12.0,12.0,11.0,1
2025-12-13,Dundee United,0,0,9,1,1,19,3,0,Motherwell,0,0,13,3,4,13,3,0,D Nicolson,D,D,2.86,3.31,2.36,1.91,1.95,1.86,1.85,1.72,1.96,16.0,26.0,8.0,3.0,1
2025-12-14,Aberdeen,2,0,21,8,9,10,2,0,Kilmarnock,1,1,8,5,3,14,5,0,R Hardie,H,A,1.76,3.53,4.5,2.0,1.93,1.9,1.82,1.94,1.76,21.0,12.0,6.0,11.0,2
2025-12-15,Rangers,1,1,19,8,5,17,1,0,Hibernian,0,0,8,3,5,14,3,0,D Robertson,H,H,1.85,3.57,3.94,1.88,2.0,1.81,1.91,1.82,1.89,26.0,24.0,4.0,5.0,2
2025-12-17,Dundee United,2,0,16,7,7,10,2,0,Celtic,1,1,17,2,6,3,1,0,J Beaton,H,A,6.21,4.46,1.45,1.62,2.3,1.58,2.24,1.79,1.92,17.0,32.0,8.0,2.0,2
2025-12-20,Dundee United,1,1,12,2,5,10,2,0,Hibernian,1,1,23,5,7,7,2,0,S McLean,D,D,3.39,3.43,2.07,1.92,1.98,1.85,1.87,1.96,1.71,20.0,24.0,8.0,5.0,1
2025-12-20,Kilmarnock,0,0,15,3,2,11,2,0,Falkirk,1,0,10,4,2,12,1,0,R Lee,A,D,2.53,3.26,2.71,2.02,1.91,1.94,1.79,1.83,1.91,12.0,21.0,11.0,8.0,0
2025-12-20,Motherwell,1,0,16,7,2,12,1,0,Dundee,0,0,5,2,3,13,2,0,M MacDermid,H,D,1.47,4.39,6.23,1.8,2.05,1.74,1.99,2.02,1.71,27.0,13.0,4.0,10.0,2
