Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HFKC,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AFKC,AY,AR,FTR,HTR,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2017-09-18,Lens,2,0,6,4,6,18,4,1,Quevilly Rouen,0,0,7,3,5,13,3,0,H,D,0.0,5.0,20.0,17.0,2
2017-09-19,Tours,0,0,11,3,6,15,2,0,Nimes,4,1,16,7,5,22,3,0,A,A,1.0,13.0,20.0,5.0,0
2017-09-19,Paris FC,1,0,17,5,8,16,2,0,Orleans,0,0,1,0,2,24,3,0,H,D,13.0,14.0,7.0,4.0,2
2017-09-19,Niort,0,0,13,4,7,17,3,0,Brest,2,0,8,3,2,15,5,0,A,D,8.0,13.0,15.0,7.0,0
2017-09-19,Nancy,2,0,16,5,6,14,2,0,Bourg Peronnas,1,1,4,2,6,17,3,0,H,A,6.0,9.0,16.0,13.0,2
2017-09-19,Reims,5,3,15,8,4,11,1,0,Ajaccio GFCO,0,0,10,2,4,18,3,0,H,H,15.0,9.0,5.0,14.0,2
2017-09-19,Chateauroux,0,0,10,3,4,20,2,0,Clermont,2,0,13,6,4,15,1,0,A,D,12.0,11.0,8.0,9.0,0
2017-09-19,Auxerre,1,0,12,7,8,12,1,0,Lorient,0,0,6,5,10,20,2,1,H,D,4.0,17.0,18.0,2.0,2
2017-09-19,Ajaccio,3,1,13,12,4,14,1,0,Valenciennes,0,0,5,2,4,12,3,0,H,H,11.0,11.0,11.0,10.0,2
2017-09-19,Le Havre,1,1,16,3,5,13,3,0,Sochaux,0,0,17,5,11,21,2,0,H,H,13.0,11.0,9.0,11.0,2
2017-09-22,Valenciennes,0,0,7,1,6,13,1,0,Auxerre,2,0,11,7,5,18,1,0,A,D,11.0,7.0,11.0,17.0,0
2017-09-22,Sochaux,1,1,6,4,1,6,1,2,Ajaccio,6,5,15,11,0,14,0,1,A,A,11.0,14.0,11.0,9.0,0
2017-09-22,Quevilly Rouen,1,0,10,4,9,16,3,0,Reims,2,0,13,6,5,18,1,0,A,D,5.0,18.0,18.0,1.0,0
2017-09-22,Orleans,1,1,7,2,5,16,1,0,Tours,1,1,7,4,8,17,0,0,D,D,14.0,1.0,9.0,20.0,1
2017-09-22,Brest,1,0,8,4,6,14,1,0,Paris FC,1,1,9,3,4,16,2,0,D,A,16.0,16.0,6.0,7.0,1
2017-09-22,Bourg Peronnas,2,1,12,3,6,13,1,0,Le Havre,1,0,9,4,4,18,2,0,H,H,9.0,16.0,15.0,7.0,2
2017-09-22,Ajaccio GFCO,2,1,9,5,8,15,1,0,Chateauroux,1,0,10,4,1,17,2,0,H,H,9.0,12.0,16.0,11.0,2
2017-09-22,Nimes,1,1,17,10,8,16,3,0,Niort,5,2,9,7,6,26,3,0,A,A,16.0,8.0,6.0,17.0,0
2017-09-23,Lorient,0,0,4,2,4,13,2,0,Nancy,0,0,7,3,4,18,4,0,D,D,17.0,9.0,3.0,17.0,1
2017-09-25,Clermont,1,1,8,4,4,12,3,0,Lens,0,0,15,9,9,19,2,0,H,H,14.0,3.0,9.0,19.0,2
2017-09-29,Orleans,3,3,9,9,9,20,4,0,Valenciennes,4,1,11,8,7,22,2,0,A,H,15.0,11.0,9.0,14.0,0
2017-09-29,Tours,1,0,8,6,6,10,1,0,Brest,2,0,7,6,6,15,2,0,A,D,2.0,17.0,20.0,5.0,0
2017-09-29,Niort,2,1,10,5,8,18,3,0,Quevilly Rouen,1,0,6,3,4,14,3,0,H,H,11.0,5.0,14.0,18.0,2
2017-09-29,Paris FC,2,2,4,4,1,25,4,0,Nimes,1,1,11,5,5,26,2,0,H,H,17.0,16.0,6.0,8.0,2
2017-09-29,Lens,2,1,18,8,4,15,0,0,Ajaccio GFCO,0,0,8,1,0,12,2,0,H,H,3.0,12.0,19.0,14.0,2
2017-09-29,Ajaccio,2,0,9,4,5,15,2,0,Bourg Peronnas,0,0,7,3,3,23,2,0,H,D,17.0,12.0,5.0,12.0,2
2017-09-29,Nancy,4,3,16,10,5,19,1,0,Chateauroux,1,0,4,2,3,13,3,2,H,H,10.0,12.0,16.0,13.0,2
